8.5177,32.733
9.3779,32.682
11.866,32.579
14.355,33.145
15.277,33.042
15.737,32.888
16.628,32.682
16.997,31.961
17.028,31.704
16.997,31.395
16.874,30.933
16.229,30.006
15.645,29.183
14.969,28.463
13.833,26.817
13.187,23.884
14.57,21.724
17.458,21.672
19.025,22.958
20.038,24.862
21.175,27.691
21.82,30.367
22.435,32.373
22.865,33.762
23.479,34.791
24.247,35.357
24.892,35.46
25.814,35.614
27.75,35.82
29.378,35.82
30.668,35.82
30.76,35.82
30.822,35.666
31.037,35.151
31.836,33.916
33.587,33.865
34.785,34.688
35.276,35.151
35.707,35.666
36.106,35.717
36.383,35.717
36.505,35.46
36.628,34.791
36.935,32.733
37.366,30.058
37.734,27.228
37.673,23.936
37.028,22.186
36.229,20.9
34.908,17.865
34.816,15.241
34.601,14.47
34.447,14.212
34.14,14.109
33.771,14.264
33.617,14.727
33.617,15.601
33.648,19.1
33.218,20.386
32.665,22.444
31.774,25.994
31.068,28.36
30.207,28.875
29.409,28.309
28.333,26.662
27.78,23.678
27.75,21.209
27.135,19.305
26.459,17.145
25.937,15.498
24.708,13.543
22.865,11.949
22.066,10.714
20.53,9.4791
18.687,8.1415
16.751,6.8553
14.355,5.7235
11.774,5.209
9.2243,4.7974
7.7189,4.7974
6.5515,4.9003
5.6912,5.1061
5.5069,5.8778
5.5684,6.3408
6.1521,6.701
7.4117,7.6785
8.5791,8.5531
9.3779,11.588
9.0707,14.778
7.7189,16.63
6.2135,16.579
5.7834,16.887
5.7834,17.248
6.0906,17.814
7.2581,20.077
7.6882,22.341
6.8587,26.199
5.1075,26.868
3.4793,26.559
2.8956,26.405
2.6805,27.074
2.7419,27.64
3.1106,27.949
4.2473,28.103
5.4455,28.206
7.043,28.926
8.1183,31.241
8.2104,32.733
