25.518,94.672,3
39.113,94.672,3
49.942,94.672,3
57.316,86.204,3
65.611,75.401,3
73.214,74.818,3
83.583,64.307,3
87.27,51.168,3
84.965,39.489,3
82.892,36.277,3
82.892,28.686,3
84.505,26.058,3
86.348,22.263,3
85.657,17.007,3
84.274,15.255,3
79.205,14.672,3
74.597,14.672,3
67.454,14.672,3
61.694,18.467,3
61.694,24.891,3
63.306,31.606,3
65.15,36.569,3
63.537,41.825,3
57.316,41.533,3
55.472,39.197,3
51.786,35.401,3
51.094,35.109,3
47.869,34.234,3
42.569,32.19,3
35.196,31.314,3
30.588,31.314,3
24.597,33.066,3
21.141,38.905,3
21.141,43.285,3
22.293,49.708,3
25.749,52.044,3
31.97,52.044,3
35.887,50.292,3
40.035,50.292,3
42.108,52.336,3
42.108,58.759,3
37.961,64.015,3
33.353,70.146,3
34.044,74.526,3
29.896,80.949,3
20.91,80.365,3
13.767,80.657,3
12.615,83.869,3
13.076,87.664,3
18.606,90.876,3
