x,y,vx,vy
35.78,15,0,2.68
36.05,15,0,2.69
36.31,15,0,2.7
36.58,15,0,2.71
36.86,15,0,2.72
37.13,15,0,2.73
37.4,15,0,2.74
37.67,15,0,2.75
37.95,15,0,2.76
38.23,15,0,2.77
38.5,15,0,2.78
38.78,15,0,2.79
39.06,15,0,2.8
39.34,15,0,2.81
39.62,15,0,2.82
39.9,15,0,2.83
40.19,15,0,2.84
40.47,15,0,2.85
40.75,15,0,2.86
41.04,15,0,2.87
41.33,15,0,2.88
41.62,15,0,2.89
41.9,15,0,2.9
42.19,15,0,2.91
42.49,15,0,2.92
42.78,15,0,2.93
43.07,15,0,2.94
43.36,15,0,2.95
43.66,15,0,2.96
43.96,15,0,2.97
44.25,15,0,2.98
44.55,15,0,2.99
44.85,15,0,3
45.15,15,0,3.01
45.45,15,0,3.02
45.75,15,0,3.03
46.06,15,0,3.04
46.36,15,0,3.05
46.66,15,0,3.06
46.97,15,0,3.07
47.28,15,0,3.08
47.59,15,0,3.09
47.89,15,0,3.1
48.2,15,0,3.11
48.52,15,0,3.12
48.83,15,0,3.13
49.14,15,0,3.14
49.45,15,0,3.15
